instance_name,num_jobs,num_machines,makespan_spt,optimality_gap_spt,optimum,upper_bound,lower_bound,makespan_mwkr,optimality_gap_mwkr,makespan_mor,optimality_gap_mor,makespan_random,optimality_gap_random,makespan_fifo,optimality_gap_fifo
abz5,10,10,1352,1.0956239870340356,1234.0,1234,1234,1369,1.1094003241491086,1336,1.0826580226904376,1406,1.1393841166936791,1336,1.0826580226904376
abz6,10,10,1097,1.1633085896076352,943.0,943,943,987,1.0466595970307528,1031,1.093319194061506,1229,1.303287380699894,1031,1.093319194061506
abz7,20,15,849,1.2942073170731707,656.0,656,656,769,1.1722560975609757,775,1.1814024390243902,873,1.3307926829268293,775,1.1814024390243902
abz8,20,15,929,1.418320610687023,,665,645,825,1.2595419847328244,810,1.2366412213740459,923,1.4091603053435116,810,1.2366412213740459
abz9,20,15,887,1.308259587020649,678.0,678,678,857,1.2640117994100295,899,1.3259587020648969,872,1.2861356932153392,899,1.3259587020648969
ft06,6,6,88,1.6,55.0,55,55,61,1.1090909090909091,59,1.0727272727272728,72,1.309090909090909,59,1.0727272727272728
ft10,10,10,1074,1.1548387096774193,930.0,930,930,1108,1.1913978494623656,1163,1.250537634408602,1226,1.3182795698924732,1163,1.250537634408602
ft20,20,5,1267,1.0875536480686696,1165.0,1165,1165,1501,1.288412017167382,1601,1.3742489270386267,1412,1.2120171673819742,1601,1.3742489270386267
la01,10,5,751,1.1276276276276276,666.0,666,666,735,1.1036036036036037,763,1.1456456456456456,838,1.2582582582582582,763,1.1456456456456456
la02,10,5,821,1.2534351145038167,655.0,655,655,817,1.2473282442748093,812,1.2396946564885496,867,1.3236641221374046,812,1.2396946564885496
la03,10,5,672,1.1256281407035176,597.0,597,597,696,1.1658291457286432,726,1.2160804020100502,768,1.2864321608040201,726,1.2160804020100502
la04,10,5,711,1.2050847457627119,590.0,590,590,758,1.2847457627118644,706,1.1966101694915254,783,1.3271186440677967,706,1.1966101694915254
la05,10,5,610,1.0286677908937605,593.0,593,593,593,1.0,593,1.0,684,1.1534569983136593,593,1.0
la06,15,5,1200,1.2958963282937366,926.0,926,926,926,1.0,926,1.0,1226,1.323974082073434,926,1.0
la07,15,5,1034,1.1617977528089887,890.0,890,890,970,1.0898876404494382,1001,1.1247191011235955,1108,1.2449438202247192,1001,1.1247191011235955
la08,15,5,942,1.0915411355735805,863.0,863,863,957,1.1089223638470451,925,1.0718424101969872,1068,1.2375434530706837,925,1.0718424101969872
la09,15,5,1045,1.0988433228180863,951.0,951,951,1015,1.0672975814931651,951,1.0,1045,1.0988433228180863,951,1.0
la10,15,5,1049,1.0949895615866387,958.0,958,958,966,1.0083507306889352,958,1.0,974,1.0167014613778707,958,1.0
la11,20,5,1473,1.2054009819967266,1222.0,1222,1222,1268,1.0376432078559739,1222,1.0,1267,1.0368248772504092,1222,1.0
la12,20,5,1203,1.1578440808469683,1039.0,1039,1039,1137,1.0943214629451397,1039,1.0,1175,1.1308950914340712,1039,1.0
la13,20,5,1275,1.108695652173913,1150.0,1150,1150,1166,1.0139130434782608,1150,1.0,1258,1.093913043478261,1150,1.0
la14,20,5,1427,1.1044891640866874,1292.0,1292,1292,1292,1.0,1292,1.0,1303,1.008513931888545,1292,1.0
la15,20,5,1339,1.1093620546810274,1207.0,1207,1207,1343,1.1126760563380282,1436,1.1897265948632973,1482,1.227837613918807,1436,1.1897265948632973
la16,10,10,1156,1.2232804232804233,945.0,945,945,1054,1.1153439153439153,1108,1.1724867724867725,1182,1.2507936507936508,1108,1.1724867724867725
la17,10,10,924,1.1785714285714286,784.0,784,784,846,1.0790816326530612,844,1.0765306122448979,1048,1.336734693877551,844,1.0765306122448979
la18,10,10,981,1.1568396226415094,848.0,848,848,970,1.1438679245283019,942,1.1108490566037736,1187,1.3997641509433962,942,1.1108490566037736
la19,10,10,940,1.1163895486935866,842.0,842,842,1013,1.2030878859857481,1088,1.2921615201900238,991,1.176959619952494,1088,1.2921615201900238
la20,10,10,1000,1.1086474501108647,902.0,902,902,964,1.0687361419068737,1130,1.252771618625277,1171,1.2982261640798227,1130,1.252771618625277
la21,15,10,1324,1.2657743785850861,1046.0,1046,1046,1264,1.2084130019120458,1251,1.1959847036328872,1311,1.2533460803059273,1251,1.1959847036328872
la22,15,10,1180,1.2729234088457388,927.0,927,927,1079,1.163969795037756,1198,1.2923408845738942,1266,1.3656957928802589,1198,1.2923408845738942
la23,15,10,1162,1.125968992248062,1032.0,1032,1032,1185,1.1482558139534884,1268,1.2286821705426356,1253,1.2141472868217054,1268,1.2286821705426356
la24,15,10,1203,1.2866310160427807,935.0,935,935,1101,1.1775401069518716,1149,1.2288770053475935,1138,1.2171122994652406,1149,1.2288770053475935
la25,15,10,1449,1.4831115660184238,977.0,977,977,1166,1.1934493346980553,1209,1.2374616171954964,1360,1.392016376663255,1209,1.2374616171954964
la26,20,10,1498,1.2298850574712643,1218.0,1218,1218,1435,1.1781609195402298,1411,1.158456486042693,1465,1.202791461412151,1411,1.158456486042693
la27,20,10,1784,1.4445344129554656,1235.0,1235,1235,1442,1.1676113360323888,1566,1.2680161943319839,1634,1.323076923076923,1566,1.2680161943319839
la28,20,10,1610,1.324013157894737,1216.0,1216,1216,1487,1.222861842105263,1477,1.214638157894737,1499,1.2327302631578947,1477,1.214638157894737
la29,20,10,1556,1.3506944444444444,1152.0,1152,1152,1337,1.1605902777777777,1437,1.2473958333333333,1473,1.2786458333333333,1437,1.2473958333333333
la30,20,10,1792,1.322509225092251,1355.0,1355,1355,1534,1.1321033210332103,1565,1.154981549815498,1562,1.1527675276752767,1565,1.154981549815498
la31,30,10,1951,1.093609865470852,1784.0,1784,1784,1931,1.0823991031390134,1836,1.0291479820627802,2046,1.1468609865470851,1836,1.0291479820627802
la32,30,10,2165,1.1702702702702703,1850.0,1850,1850,1875,1.0135135135135136,1984,1.0724324324324324,2332,1.2605405405405405,1984,1.0724324324324324
la33,30,10,1901,1.1058755090168704,1719.0,1719,1719,1875,1.0907504363001745,1811,1.0535194880744618,2097,1.219895287958115,1811,1.0535194880744618
la34,30,10,2070,1.2027890761185358,1721.0,1721,1721,1935,1.1243463102847182,1853,1.0766995932597327,2004,1.1644392794886693,1853,1.0766995932597327
la35,30,10,2118,1.1218220338983051,1888.0,1888,1888,2118,1.1218220338983051,2064,1.0932203389830508,2306,1.2213983050847457,2064,1.0932203389830508
la36,15,15,1799,1.4187697160883281,1268.0,1268,1268,1510,1.1908517350157728,1492,1.1766561514195584,1592,1.2555205047318612,1492,1.1766561514195584
la37,15,15,1655,1.1846814602720115,1397.0,1397,1397,1588,1.136721546170365,1606,1.1496062992125984,1794,1.2841803865425914,1606,1.1496062992125984
la38,15,15,1404,1.173913043478261,1196.0,1196,1196,1421,1.1881270903010033,1455,1.2165551839464883,1761,1.4724080267558528,1455,1.2165551839464883
la39,15,15,1534,1.2441200324412003,1233.0,1233,1233,1500,1.2165450121654502,1540,1.248986212489862,1515,1.2287104622871046,1540,1.248986212489862
la40,15,15,1476,1.2078559738134207,1222.0,1222,1222,1440,1.1783960720130933,1358,1.1112929623567922,1559,1.2757774140752864,1358,1.1112929623567922
orb01,10,10,1478,1.3956562795089706,1059.0,1059,1059,1359,1.2832861189801699,1307,1.234183191690274,1273,1.202077431539188,1307,1.234183191690274
orb02,10,10,1175,1.3231981981981982,888.0,888,888,1047,1.179054054054054,1047,1.179054054054054,1218,1.3716216216216217,1047,1.179054054054054
orb03,10,10,1179,1.173134328358209,1005.0,1005,1005,1247,1.2407960199004975,1445,1.4378109452736318,1266,1.2597014925373133,1445,1.4378109452736318
orb04,10,10,1236,1.2298507462686568,1005.0,1005,1005,1172,1.1661691542288557,1287,1.2805970149253731,1390,1.3830845771144278,1287,1.2805970149253731
orb05,10,10,1152,1.298759864712514,887.0,887,887,1173,1.3224351747463359,1050,1.1837655016910935,1070,1.2063134160090192,1050,1.1837655016910935
orb06,10,10,1190,1.1782178217821782,1010.0,1010,1010,1291,1.2782178217821782,1345,1.3316831683168318,1236,1.2237623762376237,1345,1.3316831683168318
orb07,10,10,504,1.269521410579345,397.0,397,397,483,1.216624685138539,500,1.2594458438287153,493,1.2418136020151134,500,1.2594458438287153
orb08,10,10,1107,1.2313681868743047,899.0,899,899,1180,1.3125695216907676,1278,1.421579532814238,1150,1.279199110122358,1278,1.421579532814238
orb09,10,10,1262,1.3511777301927195,934.0,934,934,1144,1.2248394004282654,1165,1.2473233404710922,1390,1.488222698072805,1165,1.2473233404710922
orb10,10,10,1113,1.1790254237288136,944.0,944,944,1220,1.2923728813559323,1256,1.3305084745762712,1108,1.173728813559322,1256,1.3305084745762712
swv01,20,10,1737,1.2345415778251598,1407.0,1407,1407,1988,1.4129353233830846,1971,1.4008528784648189,1906,1.3546552949538024,1971,1.4008528784648189
swv02,20,10,1706,1.1566101694915254,1475.0,1475,1475,1971,1.336271186440678,2158,1.4630508474576271,2250,1.5254237288135593,2158,1.4630508474576271
swv03,20,10,1806,1.2918454935622317,1398.0,1398,1398,1874,1.340486409155937,1870,1.3376251788268956,1993,1.4256080114449212,1870,1.3376251788268956
swv04,20,10,1874,1.280054644808743,1464.0,1464,1464,1879,1.2834699453551912,2026,1.383879781420765,1879,1.2834699453551912,2026,1.383879781420765
swv05,20,10,1922,1.3497191011235956,1424.0,1424,1424,1882,1.321629213483146,2049,1.4389044943820224,2186,1.5351123595505618,2049,1.4389044943820224
swv06,20,15,2140,1.296576794910633,,1671,1630,2135,1.2935474098757953,2287,1.3856407149348682,2245,1.3601938806422296,2287,1.3856407149348682
swv07,20,15,2146,1.3813968458319923,,1594,1513,2115,1.3614419053749598,2101,1.3524299967814613,2293,1.476021886063727,2101,1.3524299967814613
swv08,20,15,2231,1.3035349108968741,,1752,1671,2544,1.4864154250657318,2480,1.4490213263219398,2275,1.329243353783231,2480,1.4490213263219398
swv09,20,15,2247,1.3667883211678833,,1655,1633,2118,1.2883211678832116,2553,1.552919708029197,2338,1.4221411192214113,2553,1.552919708029197
swv10,20,15,2337,1.372284204345273,,1743,1663,2300,1.3505578391074575,2431,1.4274809160305344,2310,1.3564298297122726,2431,1.4274809160305344
swv11,50,10,3714,1.2450553134428428,2983.0,2983,2983,4257,1.4270868253436138,4642,1.5561515253100906,4031,1.3513241702983574,4642,1.5561515253100906
swv12,50,10,3759,1.2637418053454361,,2977,2972,4327,1.4546982686165741,4821,1.6207766011094302,4400,1.479240208438393,4821,1.6207766011094302
swv13,50,10,3657,1.1781572164948453,3104.0,3104,3104,4389,1.4139819587628866,4755,1.5318943298969072,4175,1.3450386597938144,4755,1.5318943298969072
swv14,50,10,3506,1.181266846361186,2968.0,2968,2968,4164,1.4029649595687332,4740,1.5970350404312668,4161,1.4019541778975741,4740,1.5970350404312668
swv15,50,10,3501,1.2135181975736569,2885.0,2885,2885,4374,1.5161178509532063,4905,1.7001733102253034,4330,1.5008665511265165,4905,1.7001733102253034
swv16,50,10,3453,1.1809165526675787,2924.0,2924,2924,2924,1.0,2924,1.0,3104,1.06155950752394,2924,1.0
swv17,50,10,3082,1.1030780243378668,2794.0,2794,2794,2861,1.0239799570508232,2848,1.0193271295633501,3082,1.1030780243378668,2848,1.0193271295633501
swv18,50,10,3191,1.1188639551192145,2852.0,2852,2852,2935,1.029102384291725,2852,1.0,3077,1.0788920056100981,2852,1.0
swv19,50,10,3161,1.1118536756946886,2843.0,2843,2843,3008,1.0580372845585648,3060,1.0763278227224762,3227,1.1350685895181147,3060,1.0763278227224762
swv20,50,10,3125,1.1069783917817924,2823.0,2823,2823,2823,1.0,2851,1.009918526390365,3076,1.089620970598654,2851,1.009918526390365
yn1,20,20,1196,1.3529411764705883,884.0,884,884,1005,1.1368778280542986,1045,1.1821266968325792,1121,1.2680995475113122,1045,1.1821266968325792
yn2,20,20,1256,1.416009019165727,,904,870,1081,1.2187147688838782,1074,1.2108229988726043,1231,1.3878241262683202,1074,1.2108229988726043
yn3,20,20,1042,1.1901770416904627,,892,859,1118,1.276984580239863,1100,1.2564249000571102,1297,1.4814391776127926,1100,1.2564249000571102
yn4,20,20,1273,1.342119135477069,,968,929,1164,1.2272008434370059,1267,1.3357933579335792,1201,1.2662098049551924,1267,1.3357933579335792
ta01,15,15,1462,1.1876523151909018,1231.0,1231,1231,1491,1.2112103980503655,1438,1.1681559707554834,1482,1.2038992688870838,1438,1.1681559707554834
ta02,15,15,1446,1.162379421221865,1244.0,1244,1244,1440,1.157556270096463,1452,1.167202572347267,1708,1.3729903536977492,1452,1.167202572347267
ta03,15,15,1495,1.2274220032840724,1218.0,1218,1218,1426,1.1707717569786535,1418,1.1642036124794746,1683,1.3817733990147782,1418,1.1642036124794746
ta04,15,15,1708,1.4536170212765958,1175.0,1175,1175,1387,1.1804255319148935,1457,1.24,1732,1.4740425531914894,1457,1.24
ta05,15,15,1618,1.3218954248366013,1224.0,1224,1224,1494,1.2205882352941178,1448,1.1830065359477124,1600,1.3071895424836601,1448,1.1830065359477124
ta06,15,15,1522,1.2294022617124394,1238.0,1238,1238,1369,1.105815831987076,1486,1.2003231017770597,1569,1.2673667205169628,1486,1.2003231017770597
ta07,15,15,1434,1.1687041564792175,1227.0,1227,1227,1470,1.1980440097799512,1456,1.1866340668296658,1594,1.2991035044824777,1456,1.1866340668296658
ta08,15,15,1457,1.1972062448644207,1217.0,1217,1217,1491,1.2251437962202136,1482,1.217748562037798,1469,1.2070665571076418,1482,1.217748562037798
ta09,15,15,1622,1.2731554160125589,1274.0,1274,1274,1541,1.2095761381475667,1594,1.251177394034537,1945,1.5266875981161696,1594,1.251177394034537
ta10,15,15,1697,1.3674456083803384,1241.0,1241,1241,1534,1.2360999194198228,1582,1.27477840451249,1576,1.2699435938759065,1582,1.27477840451249
ta11,20,15,1865,1.374355195283714,1357.0,1357,1357,1685,1.2417096536477523,1665,1.2269712601326455,1776,1.3087693441414885,1665,1.2269712601326455
ta12,20,15,1667,1.2194586686174105,1367.0,1367,1367,1707,1.248719824433065,1739,1.2721287490855888,1761,1.288222384784199,1739,1.2721287490855888
ta13,20,15,1802,1.3427719821162445,1342.0,1342,1342,1690,1.2593144560357674,1642,1.2235469448584202,1835,1.3673621460506706,1642,1.2235469448584202
ta14,20,15,1635,1.2156133828996283,1345.0,1345,1345,1563,1.1620817843866171,1662,1.2356877323420075,1653,1.228996282527881,1662,1.2356877323420075
ta15,20,15,1835,1.3704256908140404,1339.0,1339,1339,1696,1.2666168782673637,1682,1.2561613144137416,1834,1.369678864824496,1682,1.2561613144137416
ta16,20,15,1965,1.4448529411764706,1360.0,1360,1360,1584,1.1647058823529413,1638,1.2044117647058823,1733,1.2742647058823529,1638,1.2044117647058823
ta17,20,15,2059,1.4083447332421342,1462.0,1462,1462,1804,1.2339261285909713,1856,1.2694938440492476,1983,1.3563611491108072,1856,1.2694938440492476
ta18,20,15,1808,1.3040028849621348,,1396,1377,1751,1.262892174540209,1710,1.2333213126577713,1886,1.3602596465921384,1710,1.2333213126577713
ta19,20,15,1789,1.343093093093093,1332.0,1332,1332,1667,1.2515015015015014,1651,1.2394894894894894,1792,1.3453453453453454,1651,1.2394894894894894
ta20,20,15,1710,1.268545994065282,1348.0,1348,1348,1689,1.252967359050445,1622,1.2032640949554896,1733,1.2856083086053411,1622,1.2032640949554896
ta21,20,20,2175,1.3246041412911085,1642.0,1642,1642,2044,1.2448233861144946,1964,1.1961023142509135,2130,1.2971985383678442,1964,1.1961023142509135
ta22,20,20,1965,1.2432774438468839,,1600,1561,1914,1.2110091743119267,1905,1.2053147738057577,2141,1.354634609300854,1905,1.2053147738057577
ta23,20,20,1933,1.2572357723577237,,1557,1518,1983,1.2897560975609756,1922,1.250081300813008,2088,1.358048780487805,1922,1.250081300813008
ta24,20,20,2230,1.356447688564477,1644.0,1644,1644,1982,1.205596107055961,1943,1.1818734793187349,2196,1.3357664233576643,1943,1.1818734793187349
ta25,20,20,1950,1.236917221693625,,1595,1558,1941,1.231208372978116,1957,1.2413574373612433,2215,1.405011100539169,1957,1.2413574373612433
ta26,20,20,2188,1.3531230674087817,,1643,1591,1951,1.2065553494124923,1964,1.2145949288806432,2237,1.383426097711812,1964,1.2145949288806432
ta27,20,20,2096,1.2581032412965185,,1680,1652,2091,1.2551020408163265,2160,1.296518607442977,2144,1.2869147659063624,2160,1.296518607442977
ta28,20,20,1968,1.2276980661260137,1603.0,1603,1603,1997,1.245789145352464,1952,1.2177167810355582,2168,1.3524641297567062,1952,1.2177167810355582
ta29,20,20,2166,1.3545966228893058,,1625,1573,1860,1.1632270168855534,1899,1.1876172607879925,2071,1.2951844903064416,1899,1.1876172607879925
ta30,20,20,1999,1.2884305510796004,,1584,1519,1935,1.247180148243635,2017,1.3000322268772155,2006,1.292942313889784,2017,1.3000322268772155
ta31,30,15,2335,1.3236961451247165,1764.0,1764,1764,2134,1.209750566893424,2143,1.2148526077097506,2224,1.2607709750566893,2143,1.2148526077097506
ta32,30,15,2432,1.3670601461495222,,1784,1774,2223,1.2495784148397977,2188,1.2299044406970208,2394,1.3456998313659359,2188,1.2299044406970208
ta33,30,15,2453,1.374614738021855,,1791,1778,2349,1.3163351078733538,2308,1.2933594844494256,2495,1.3981507425049033,2308,1.2933594844494256
ta34,30,15,2434,1.3311457478807767,,1829,1828,2245,1.2277823352474706,2193,1.199343724364233,2583,1.4126333059885152,2193,1.199343724364233
ta35,30,15,2497,1.244145490782262,2007.0,2007,2007,2226,1.109118086696562,2255,1.1235675137020429,2420,1.2057797708021922,2255,1.1235675137020429
ta36,30,15,2445,1.3441451346893898,1819.0,1819,1819,2365,1.3001649257833974,2307,1.268279274326553,2435,1.3386476085761407,2307,1.268279274326553
ta37,30,15,2664,1.5042348955392433,1771.0,1771,1771,2130,1.2027103331451157,2190,1.2365894974590628,2543,1.4359119141727836,2190,1.2365894974590628
