instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1437,1.1645056726094003,1234.0,1234,1234
abz6,10,10,981,1.0402969247083775,943.0,943,943
abz7,20,15,874,1.3323170731707317,656.0,656,656
abz8,20,15,861,1.3145038167938932,,665,645
abz9,20,15,915,1.3495575221238938,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1099,1.1817204301075268,930.0,930,930
ft20,20,5,1532,1.3150214592274678,1165.0,1165,1165
la01,10,5,705,1.0585585585585586,666.0,666,666
la02,10,5,825,1.2595419847328244,655.0,655,655
la03,10,5,734,1.2294807370184255,597.0,597,597
la04,10,5,696,1.1796610169491526,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,961,1.0797752808988763,890.0,890,890
la08,15,5,874,1.0127462340672073,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1229,1.0057283142389526,1222.0,1222,1222
la12,20,5,1039,1.0,1039.0,1039,1039
la13,20,5,1150,1.0,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1385,1.1474730737365368,1207.0,1207,1207
la16,10,10,1131,1.1968253968253968,945.0,945,945
la17,10,10,906,1.155612244897959,784.0,784,784
la18,10,10,907,1.0695754716981132,848.0,848,848
la19,10,10,902,1.0712589073634204,842.0,842,842
la20,10,10,972,1.0776053215077606,902.0,902,902
la21,15,10,1230,1.1759082217973231,1046.0,1046,1046
la22,15,10,1111,1.1984897518878102,927.0,927,927
la23,15,10,1131,1.0959302325581395,1032.0,1032,1032
la24,15,10,1039,1.1112299465240643,935.0,935,935
la25,15,10,1280,1.3101330603889458,977.0,977,977
la26,20,10,1468,1.2052545155993433,1218.0,1218,1218
la27,20,10,1466,1.1870445344129554,1235.0,1235,1235
la28,20,10,1449,1.191611842105263,1216.0,1216,1216
la29,20,10,1418,1.2309027777777777,1152.0,1152,1152
la30,20,10,1453,1.0723247232472324,1355.0,1355,1355
la31,30,10,1825,1.022982062780269,1784.0,1784,1784
la32,30,10,2008,1.0854054054054054,1850.0,1850,1850
la33,30,10,1984,1.1541593949970914,1719.0,1719,1719
la34,30,10,1813,1.053457292271935,1721.0,1721,1721
la35,30,10,2020,1.069915254237288,1888.0,1888,1888
la36,15,15,1816,1.4321766561514195,1268.0,1268,1268
la37,15,15,1621,1.1603435934144595,1397.0,1397,1397
la38,15,15,1656,1.3846153846153846,1196.0,1196,1196
la39,15,15,1582,1.2830494728304946,1233.0,1233,1233
la40,15,15,1464,1.1980360065466449,1222.0,1222,1222
orb01,10,10,1266,1.1954674220963173,1059.0,1059,1059
orb02,10,10,1024,1.1531531531531531,888.0,888,888
orb03,10,10,1241,1.234825870646766,1005.0,1005,1005
orb04,10,10,1128,1.1223880597014926,1005.0,1005,1005
orb05,10,10,1047,1.1803833145434048,887.0,887,887
orb06,10,10,1205,1.193069306930693,1010.0,1010,1010
orb07,10,10,480,1.2090680100755669,397.0,397,397
orb08,10,10,1075,1.1957730812013347,899.0,899,899
orb09,10,10,1165,1.2473233404710922,934.0,934,934
orb10,10,10,1077,1.1408898305084745,944.0,944,944
swv01,20,10,1630,1.1584932480454868,1407.0,1407,1407
swv02,20,10,1693,1.1477966101694914,1475.0,1475,1475
swv03,20,10,1655,1.1838340486409156,1398.0,1398,1398
swv04,20,10,1805,1.2329234972677596,1464.0,1464,1464
swv05,20,10,1811,1.2717696629213484,1424.0,1424,1424
swv06,20,15,1932,1.1705543774613754,,1671,1630
swv07,20,15,1972,1.2693916961699387,,1594,1513
