instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1396,1.1312803889789302,1234.0,1234,1234
abz6,10,10,1078,1.1431601272534464,943.0,943,943
abz7,20,15,733,1.1173780487804879,656.0,656,656
abz8,20,15,826,1.2610687022900764,,665,645
abz9,20,15,796,1.1740412979351031,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1133,1.218279569892473,930.0,930,930
ft20,20,5,1283,1.1012875536480686,1165.0,1165,1165
la01,10,5,678,1.018018018018018,666.0,666,666
la02,10,5,745,1.1374045801526718,655.0,655,655
la03,10,5,650,1.0887772194304857,597.0,597,597
la04,10,5,668,1.1322033898305084,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,925,1.0393258426966292,890.0,890,890
la08,15,5,912,1.0567786790266511,863.0,863,863
la09,15,5,971,1.0210304942166142,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1222,1.0,1222.0,1222,1222
la12,20,5,1051,1.0115495668912415,1039.0,1039,1039
la13,20,5,1150,1.0,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1208,1.0008285004142503,1207.0,1207,1207
la16,10,10,1106,1.1703703703703703,945.0,945,945
la17,10,10,894,1.1403061224489797,784.0,784,784
la18,10,10,941,1.1096698113207548,848.0,848,848
la19,10,10,969,1.1508313539192399,842.0,842,842
la20,10,10,960,1.06430155210643,902.0,902,902
la21,15,10,1241,1.1864244741873804,1046.0,1046,1046
la22,15,10,1012,1.0916936353829558,927.0,927,927
la23,15,10,1163,1.126937984496124,1032.0,1032,1032
la24,15,10,1049,1.1219251336898395,935.0,935,935
la25,15,10,1251,1.2804503582395086,977.0,977,977
la26,20,10,1353,1.1108374384236452,1218.0,1218,1218
la27,20,10,1363,1.1036437246963562,1235.0,1235,1235
la28,20,10,1330,1.09375,1216.0,1216,1216
la29,20,10,1361,1.1814236111111112,1152.0,1152,1152
la30,20,10,1428,1.0538745387453874,1355.0,1355,1355
la31,30,10,1784,1.0,1784.0,1784,1784
la32,30,10,1884,1.0183783783783784,1850.0,1850,1850
la33,30,10,1719,1.0,1719.0,1719,1719
