instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1378,1.1166936790923825,1234.0,1234,1234
abz6,10,10,1078,1.1431601272534464,943.0,943,943
abz7,20,15,754,1.149390243902439,656.0,656,656
abz8,20,15,765,1.16793893129771,,665,645
abz9,20,15,779,1.148967551622419,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1058,1.1376344086021506,930.0,930,930
ft20,20,5,1247,1.0703862660944206,1165.0,1165,1165
la01,10,5,685,1.0285285285285286,666.0,666,666
la02,10,5,696,1.0625954198473282,655.0,655,655
la03,10,5,656,1.0988274706867671,597.0,597,597
la04,10,5,668,1.1322033898305084,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,935,1.050561797752809,890.0,890,890
la08,15,5,976,1.1309385863267671,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1222,1.0,1222.0,1222,1222
la12,20,5,1081,1.0404234841193456,1039.0,1039,1039
la13,20,5,1160,1.008695652173913,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1207,1.0,1207.0,1207,1207
la16,10,10,1010,1.0687830687830688,945.0,945,945
la17,10,10,925,1.1798469387755102,784.0,784,784
la18,10,10,1008,1.1886792452830188,848.0,848,848
la19,10,10,969,1.1508313539192399,842.0,842,842
la20,10,10,972,1.0776053215077606,902.0,902,902
la21,15,10,1201,1.1481835564053537,1046.0,1046,1046
la22,15,10,981,1.058252427184466,927.0,927,927
la23,15,10,1154,1.1182170542635659,1032.0,1032,1032
la24,15,10,1086,1.1614973262032084,935.0,935,935
la25,15,10,1126,1.1525076765609008,977.0,977,977
la26,20,10,1284,1.0541871921182266,1218.0,1218,1218
la27,20,10,1327,1.074493927125506,1235.0,1235,1235
la28,20,10,1381,1.1356907894736843,1216.0,1216,1216
la29,20,10,1354,1.1753472222222223,1152.0,1152,1152
la30,20,10,1409,1.0398523985239851,1355.0,1355,1355
la31,30,10,1920,1.0762331838565022,1784.0,1784,1784
la32,30,10,1850,1.0,1850.0,1850,1850
la33,30,10,1719,1.0,1719.0,1719,1719
la34,30,10,1721,1.0,1721.0,1721,1721
la35,30,10,1905,1.0090042372881356,1888.0,1888,1888
la36,15,15,1365,1.0764984227129337,1268.0,1268,1268
la37,15,15,1571,1.124552612741589,1397.0,1397,1397
la38,15,15,1390,1.1622073578595318,1196.0,1196,1196
la39,15,15,1492,1.2100567721005677,1233.0,1233,1233
la40,15,15,1344,1.099836333878887,1222.0,1222,1222
orb01,10,10,1201,1.1340887629839471,1059.0,1059,1059
orb02,10,10,987,1.1114864864864864,888.0,888,888
orb03,10,10,1206,1.2,1005.0,1005,1005
orb04,10,10,1139,1.1333333333333333,1005.0,1005,1005
orb05,10,10,1068,1.2040586245772267,887.0,887,887
orb06,10,10,1156,1.1445544554455445,1010.0,1010,1010
orb07,10,10,431,1.0856423173803527,397.0,397,397
orb08,10,10,1032,1.1479421579532814,899.0,899,899
orb09,10,10,1102,1.1798715203426124,934.0,934,934
orb10,10,10,1051,1.1133474576271187,944.0,944,944
swv01,20,10,1632,1.159914712153518,1407.0,1407,1407
swv02,20,10,1660,1.1254237288135593,1475.0,1475,1475
swv03,20,10,1574,1.1258941344778255,1398.0,1398,1398
swv04,20,10,1816,1.2404371584699454,1464.0,1464,1464
swv05,20,10,1616,1.1348314606741574,1424.0,1424,1424
swv06,20,15,2144,1.2990003029385035,,1671,1630
swv07,20,15,1860,1.1972964274219504,,1594,1513
swv08,20,15,2110,1.2328366929593924,,1752,1671
swv09,20,15,1969,1.1976885644768855,,1655,1633
swv10,20,15,2050,1.2037580739870817,,1743,1663
swv11,50,10,3266,1.0948709353000334,2983.0,2983,2983
swv12,50,10,3257,1.094973945200874,,2977,2972
swv13,50,10,3353,1.0802190721649485,3104.0,3104,3104
swv14,50,10,3175,1.0697439353099731,2968.0,2968,2968
swv15,50,10,3231,1.1199306759098786,2885.0,2885,2885
swv16,50,10,2924,1.0,2924.0,2924,2924
swv17,50,10,2794,1.0,2794.0,2794,2794
swv18,50,10,2852,1.0,2852.0,2852,2852
swv19,50,10,2843,1.0,2843.0,2843,2843
swv20,50,10,2823,1.0,2823.0,2823,2823
yn1,20,20,997,1.1278280542986425,884.0,884,884
yn2,20,20,1044,1.177001127395716,,904,870
yn3,20,20,1014,1.158195316961736,,892,859
yn4,20,20,1161,1.2240379546652609,,968,929
ta01,15,15,1459,1.1852152721364744,1231.0,1231,1231
ta02,15,15,1396,1.1221864951768488,1244.0,1244,1244
ta03,15,15,1444,1.1855500821018063,1218.0,1218,1218
ta04,15,15,1458,1.2408510638297872,1175.0,1175,1175
ta05,15,15,1509,1.232843137254902,1224.0,1224,1224
ta06,15,15,1426,1.1518578352180937,1238.0,1238,1238
ta07,15,15,1444,1.1768541157294214,1227.0,1227,1227
ta08,15,15,1367,1.1232539030402628,1217.0,1217,1217
ta09,15,15,1513,1.1875981161695448,1274.0,1274,1274
ta10,15,15,1549,1.2481869460112813,1241.0,1241,1241
ta11,20,15,1614,1.189388356669123,1357.0,1357,1357
ta12,20,15,1592,1.1645940014630578,1367.0,1367,1367
ta13,20,15,1649,1.2287630402384502,1342.0,1342,1342
ta14,20,15,1522,1.1315985130111523,1345.0,1345,1345
ta15,20,15,1583,1.1822255414488425,1339.0,1339,1339
ta16,20,15,1589,1.1683823529411765,1360.0,1360,1360
ta17,20,15,1670,1.1422708618331054,1462.0,1462,1462
ta18,20,15,1630,1.1756220699603317,,1396,1377
ta19,20,15,1511,1.1343843843843844,1332.0,1332,1332
ta20,20,15,1608,1.1928783382789319,1348.0,1348,1348
ta21,20,20,2000,1.218026796589525,1642.0,1642,1642
ta22,20,20,1848,1.1692502372666878,,1600,1561
ta23,20,20,1829,1.1895934959349594,,1557,1518
ta24,20,20,2009,1.2220194647201947,1644.0,1644,1644
ta25,20,20,1857,1.1779257849666984,,1595,1558
ta26,20,20,1888,1.1675943104514532,,1643,1591
ta27,20,20,1897,1.138655462184874,,1680,1652
ta28,20,20,1944,1.2127261384903307,1603.0,1603,1603
ta29,20,20,1995,1.2476547842401502,,1625,1573
ta30,20,20,1938,1.249113760876571,,1584,1519
ta31,30,15,2028,1.1496598639455782,1764.0,1764,1764
ta32,30,15,2108,1.1849353569421024,,1784,1774
ta33,30,15,2261,1.267021574670776,,1791,1778
ta34,30,15,2137,1.1687175280284385,,1829,1828
ta35,30,15,2136,1.0642750373692078,2007.0,2007,2007
ta36,30,15,2073,1.1396371632765256,1819.0,1819,1819
ta37,30,15,2079,1.173913043478261,1771.0,1771,1771
ta38,30,15,1954,1.167961745367603,1673.0,1673,1673
ta39,30,15,2009,1.1192200557103065,1795.0,1795,1795
ta40,30,15,1982,1.193975903614458,,1669,1651
ta41,30,20,2394,1.2242393249808232,,2005,1906
ta42,30,20,2217,1.1604292070138706,,1937,1884
ta43,30,20,2254,1.2333789329685363,,1846,1809
ta44,30,20,2303,1.1729055258467023,,1979,1948
ta45,30,20,2353,1.1773830372779586,,2000,1997
ta46,30,20,2382,1.20272658419591,,2004,1957
ta47,30,20,2232,1.2077922077922079,,1889,1807
ta48,30,20,2237,1.1623798389191997,,1937,1912
ta49,30,20,2380,1.220825852782765,,1968,1931
ta50,30,20,2337,1.244408945686901,,1923,1833
ta51,50,15,3016,1.0927536231884059,2760.0,2760,2760
ta52,50,15,2955,1.0722060957910013,2756.0,2756,2756
ta53,50,15,2939,1.0817077659182923,2717.0,2717,2717
ta54,50,15,2878,1.0137372314195139,2839.0,2839,2839
ta55,50,15,2933,1.0948114968271743,2679.0,2679,2679
ta56,50,15,2865,1.0302049622437972,2781.0,2781,2781
ta57,50,15,3048,1.035677879714577,2943.0,2943,2943
ta58,50,15,3121,1.0818024263431543,2885.0,2885,2885
ta59,50,15,3064,1.1540489642184557,2655.0,2655,2655
ta60,50,15,2947,1.082262210796915,2723.0,2723,2723
ta61,50,20,3237,1.1286610878661087,2868.0,2868,2868
ta62,50,20,3131,1.0913210177762287,2869.0,2869,2869
ta63,50,20,3019,1.0958257713248638,2755.0,2755,2755
ta64,50,20,2906,1.075499629903775,2702.0,2702,2702
ta65,50,20,3114,1.1427522935779817,2725.0,2725,2725
ta66,50,20,3131,1.1005272407732865,2845.0,2845,2845
ta67,50,20,3071,1.087079646017699,2825.0,2825,2825
ta68,50,20,3032,1.089080459770115,2784.0,2784,2784
ta69,50,20,3344,1.0888961250407034,3071.0,3071,3071
ta70,50,20,3352,1.1191986644407346,2995.0,2995,2995
ta71,100,20,5499,1.0064055636896048,5464.0,5464,5464
ta72,100,20,5252,1.013703918162517,5181.0,5181,5181
ta73,100,20,5666,1.0176005747126438,5568.0,5568,5568
ta74,100,20,5339,1.0,5339.0,5339,5339
ta75,100,20,5668,1.051186943620178,5392.0,5392,5392
ta76,100,20,5632,1.054286783976039,5342.0,5342,5342
ta77,100,20,5566,1.023914643119941,5436.0,5436,5436
ta78,100,20,5404,1.0018539117538006,5394.0,5394,5394
ta79,100,20,5410,1.009705113848451,5358.0,5358,5358
ta80,100,20,5483,1.057881535790083,5183.0,5183,5183
