"instance_name","num_jobs","num_machines","makespan","optimality_gap","optimum","upper_bound","lower_bound"
"abz5","10","10","1355","1.0980551053484602","1234","1234","1234"
"abz6","10","10","1003","1.063626723223754","943","943","943"
"abz7","20","15","750","1.1432926829268293","656","656","656"
"abz8","20","15","801","1.2229007633587787","null","665","645"
"abz9","20","15","834","1.2300884955752212","678","678","678"
"ft06","6","6","60","1.0909090909090908","55","55","55"
"ft10","10","10","1015","1.0913978494623655","930","930","930"
"ft20","20","5","1305","1.1201716738197425","1165","1165","1165"
"la01","10","5","671","1.0075075075075075","666","666","666"
"la02","10","5","784","1.1969465648854962","655","655","655"
"la03","10","5","751","1.2579564489112227","597","597","597"
"la04","10","5","707","1.1983050847457628","590","590","590"
"la05","10","5","593","1","593","593","593"
"la06","15","5","935","1.009719222462203","926","926","926"
"la07","15","5","907","1.0191011235955056","890","890","890"
"la08","15","5","907","1.0509849362688297","863","863","863"
"la09","15","5","951","1","951","951","951"
"la10","15","5","958","1","958","958","958"
"la11","20","5","1222","1","1222","1222","1222"
"la12","20","5","1089","1.0481231953801733","1039","1039","1039"
"la13","20","5","1150","1","1150","1150","1150"
"la14","20","5","1292","1","1292","1292","1292"
"la15","20","5","1238","1.0256835128417565","1207","1207","1207"
"la16","10","10","1165","1.2328042328042328","945","945","945"
"la17","10","10","886","1.1301020408163265","784","784","784"
"la18","10","10","907","1.0695754716981132","848","848","848"
"la19","10","10","917","1.0890736342042755","842","842","842"
"la20","10","10","1014","1.124168514412417","902","902","902"
"la21","15","10","1232","1.1778202676864244","1046","1046","1046"
"la22","15","10","1042","1.1240560949298812","927","927","927"
"la23","15","10","1138","1.1027131782945736","1032","1032","1032"
"la24","15","10","1060","1.1336898395721926","935","935","935"
"la25","15","10","1131","1.157625383828045","977","977","977"
"la26","20","10","1346","1.1050903119868638","1218","1218","1218"
"la27","20","10","1418","1.1481781376518219","1235","1235","1235"
"la28","20","10","1415","1.1636513157894737","1216","1216","1216"
"la29","20","10","1305","1.1328125","1152","1152","1152"
"la30","20","10","1410","1.040590405904059","1355","1355","1355"
"la31","30","10","1836","1.0291479820627802","1784","1784","1784"
"la32","30","10","1850","1","1850","1850","1850"
"la33","30","10","1759","1.0232693426410704","1719","1719","1719"
"la34","30","10","1804","1.0482277745496804","1721","1721","1721"
"la35","30","10","1888","1","1888","1888","1888"
"la36","15","15","1472","1.160883280757098","1268","1268","1268"
"la37","15","15","1568","1.122405153901217","1397","1397","1397"
"la38","15","15","1383","1.1563545150501673","1196","1196","1196"
"la39","15","15","1411","1.1443633414436334","1233","1233","1233"
"la40","15","15","1384","1.132569558101473","1222","1222","1222"
"orb01","10","10","1280","1.2086874409820585","1059","1059","1059"
"orb02","10","10","921","1.037162162162162","888","888","888"
"orb03","10","10","1187","1.181094527363184","1005","1005","1005"
"orb04","10","10","1130","1.1243781094527363","1005","1005","1005"
"orb05","10","10","1071","1.2074408117249154","887","887","887"
"orb06","10","10","1282","1.2693069306930693","1010","1010","1010"
"orb07","10","10","465","1.1712846347607053","397","397","397"
"orb08","10","10","1093","1.2157953281423803","899","899","899"
"orb09","10","10","1050","1.1241970021413277","934","934","934"
"orb10","10","10","1099","1.1641949152542372","944","944","944"
"swv01","20","10","1740","1.236673773987207","1407","1407","1407"
"swv02","20","10","1839","1.2467796610169493","1475","1475","1475"
"swv03","20","10","1703","1.2181688125894135","1398","1398","1398"
"swv04","20","10","1905","1.3012295081967213","1464","1464","1464"
"swv05","20","10","1712","1.202247191011236","1424","1424","1424"
"swv06","20","15","2013","1.2196304150257498","null","1671","1630"
"swv07","20","15","1866","1.2011586739620213","null","1594","1513"
"swv08","20","15","2210","1.2912649722465674","null","1752","1671"
"swv09","20","15","2159","1.3132603406326033","null","1655","1633"
"swv10","20","15","2224","1.3059307105108633","null","1743","1663"
"swv11","50","10","3831","1.2842775729131746","2983","2983","2983"
"swv12","50","10","3816","1.2829046898638428","null","2977","2972"
"swv13","50","10","4064","1.309278350515464","3104","3104","3104"
"swv14","50","10","3594","1.2109164420485174","2968","2968","2968"
"swv15","50","10","3723","1.2904679376083188","2885","2885","2885"
"swv16","50","10","2924","1","2924","2924","2924"
"swv17","50","10","2794","1","2794","2794","2794"
"swv18","50","10","2934","1.0287517531556802","2852","2852","2852"
"swv19","50","10","2843","1","2843","2843","2843"
"swv20","50","10","2823","1","2823","2823","2823"
"yn1","20","20","1015","1.1481900452488687","884","884","884"
"yn2","20","20","1049","1.1826381059751974","null","904","870"
"yn3","20","20","1057","1.207310108509423","null","892","859"
"yn4","20","20","1168","1.231418028465999","null","968","929"
"ta01","15","15","1467","1.191714053614947","1231","1231","1231"
"ta02","15","15","1431","1.1503215434083602","1244","1244","1244"
"ta03","15","15","1498","1.2298850574712643","1218","1218","1218"
"ta04","15","15","1428","1.2153191489361703","1175","1175","1175"
"ta05","15","15","1335","1.0906862745098038","1224","1224","1224"
"ta06","15","15","1405","1.1348949919224556","1238","1238","1238"
"ta07","15","15","1460","1.1898940505297473","1227","1227","1227"
"ta08","15","15","1427","1.172555464256368","1217","1217","1217"
"ta09","15","15","1508","1.183673469387755","1274","1274","1274"
"ta10","15","15","1444","1.1635777598710717","1241","1241","1241"
"ta11","20","15","1663","1.2254974207811349","1357","1357","1357"
"ta12","20","15","1584","1.1587417702999268","1367","1367","1367"
"ta13","20","15","1599","1.19150521609538","1342","1342","1342"
"ta14","20","15","1531","1.1382899628252787","1345","1345","1345"
"ta15","20","15","1570","1.1725168035847648","1339","1339","1339"
"ta16","20","15","1576","1.1588235294117648","1360","1360","1360"
"ta17","20","15","1745","1.1935704514363885","1462","1462","1462"
"ta18","20","15","1608","1.1597547782185358","null","1396","1377"
"ta19","20","15","1581","1.186936936936937","1332","1332","1332"
"ta20","20","15","1592","1.1810089020771513","1348","1348","1348"
"ta21","20","20","1943","1.1833130328867234","1642","1642","1642"
"ta22","20","20","1838","1.1629231255931667","null","1600","1561"
"ta23","20","20","1918","1.247479674796748","null","1557","1518"
"ta24","20","20","1914","1.1642335766423357","1644","1644","1644"
"ta25","20","20","1883","1.19441801458928","null","1595","1558"
"ta26","20","20","1923","1.189239332096475","null","1643","1591"
"ta27","20","20","2015","1.209483793517407","null","1680","1652"
"ta28","20","20","1884","1.175296319401123","1603","1603","1603"
"ta29","20","20","1903","1.1901188242651657","null","1625","1573"
"ta30","20","20","1929","1.2433129229777635","null","1584","1519"
"ta31","30","15","2054","1.1643990929705215","1764","1764","1764"
"ta32","30","15","2077","1.1675098369870713","null","1784","1774"
"ta33","30","15","2200","1.2328383300644439","null","1791","1778"
"ta34","30","15","2114","1.1561389116762373","null","1829","1828"
"ta35","30","15","2186","1.0891878425510713","2007","2007","2007"
"ta36","30","15","2155","1.1847168774051677","1819","1819","1819"
"ta37","30","15","2086","1.1778656126482214","1771","1771","1771"
"ta38","30","15","1981","1.1841004184100419","1673","1673","1673"
"ta39","30","15","2141","1.192757660167131","1795","1795","1795"
"ta40","30","15","2096","1.2626506024096384","null","1669","1651"
"ta41","30","20","2454","1.2549220148299667","null","2005","1906"
"ta42","30","20","2255","1.1803192881444649","null","1937","1884"
"ta43","30","20","2225","1.2175102599179206","null","1846","1809"
"ta44","30","20","2312","1.1774891774891776","null","1979","1948"
"ta45","30","20","2344","1.1728796597448086","null","2000","1997"
"ta46","30","20","2508","1.2663468821004797","null","2004","1957"
"ta47","30","20","2243","1.2137445887445888","null","1889","1807"
"ta48","30","20","2392","1.2429202390231229","null","1937","1912"
"ta49","30","20","2416","1.2392921261862015","null","1968","1931"
"ta50","30","20","2401","1.2784877529286476","null","1923","1833"
"ta51","50","15","3271","1.1851449275362318","2760","2760","2760"
"ta52","50","15","3146","1.1415094339622642","2756","2756","2756"
"ta53","50","15","2913","1.0721383879278616","2717","2717","2717"
"ta54","50","15","2901","1.0218386755899964","2839","2839","2839"
"ta55","50","15","3144","1.173572228443449","2679","2679","2679"
"ta56","50","15","2940","1.0571736785329018","2781","2781","2781"
"ta57","50","15","3310","1.124702684335712","2943","2943","2943"
"ta58","50","15","3111","1.0783362218370884","2885","2885","2885"
"ta59","50","15","3048","1.1480225988700565","2655","2655","2655"
"ta60","50","15","3007","1.104296731546089","2723","2723","2723"
"ta61","50","20","3376","1.1771269177126917","2868","2868","2868"
"ta62","50","20","3296","1.1488323457650749","2869","2869","2869"
"ta63","50","20","3162","1.1477313974591652","2755","2755","2755"
"ta64","50","20","2979","1.102516654330126","2702","2702","2702"
"ta65","50","20","3189","1.1702752293577983","2725","2725","2725"
"ta66","50","20","3207","1.1272407732864675","2845","2845","2845"
"ta67","50","20","3130","1.1079646017699114","2825","2825","2825"
"ta68","50","20","3107","1.1160201149425288","2784","2784","2784"
"ta69","50","20","3498","1.1390426571149463","3071","3071","3071"
"ta70","50","20","3488","1.1646076794657763","2995","2995","2995"
"ta71","100","20","5720","1.0468521229868228","5464","5464","5464"
"ta72","100","20","5341","1.0308820690986296","5181","5181","5181"
